cost_function,value,name,level,mode,episode,simulation_id
average_daily_peak,0.950473172653567,District,district,train,9,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,District,district,train,9,alameda_resstock-amy2018-2021-release-1-534588
cost,,District,district,train,9,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,0.7754529128719748,District,district,train,9,alameda_resstock-amy2018-2021-release-1-534588
peak_demand,1.0458585565585838,District,district,train,9,alameda_resstock-amy2018-2021-release-1-534588
ramping,0.979118701766548,District,district,train,9,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.348009717961448,District,district,train,9,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,0.7754529128719748,resstock-amy2018-2021-release-1-534588,building,train,9,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.348009717961448,resstock-amy2018-2021-release-1-534588,building,train,9,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,resstock-amy2018-2021-release-1-534588,building,train,9,alameda_resstock-amy2018-2021-release-1-534588
cost,,resstock-amy2018-2021-release-1-534588,building,train,9,alameda_resstock-amy2018-2021-release-1-534588
1 - load_factor,0.9817030963378552,District,district,train,10,alameda_resstock-amy2018-2021-release-1-534588
average_daily_peak,0.954832646522837,District,district,train,10,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,District,district,train,10,alameda_resstock-amy2018-2021-release-1-534588
cost,,District,district,train,10,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,0.7849610797692946,District,district,train,10,alameda_resstock-amy2018-2021-release-1-534588
peak_demand,0.9815090690868166,District,district,train,10,alameda_resstock-amy2018-2021-release-1-534588
ramping,0.9678115316696503,District,district,train,10,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.3532785755561152,District,district,train,10,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,0.7849610797692946,resstock-amy2018-2021-release-1-534588,building,train,10,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.3532785755561152,resstock-amy2018-2021-release-1-534588,building,train,10,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,resstock-amy2018-2021-release-1-534588,building,train,10,alameda_resstock-amy2018-2021-release-1-534588
cost,,resstock-amy2018-2021-release-1-534588,building,train,10,alameda_resstock-amy2018-2021-release-1-534588
